translated_text_no_emoji,emoji_labels
Happiness Is 184 to take the target Pakistan 182 all out !! 1 run Hira went! 6 wickets in the last 17 runs!!  ... http/fb.me/SNROUiGh,"[0, 0, 3]"
Happy birthday Maa !! Love you!! Happy birthday mom!! pic.twitter.com/aeCrMFBn6R,[]
Hi frnds good morning. I am the new admin of this page #ovi...... ,[0]
"How to make a woman happy? — Take someone named ``Happy'' to that woman, and she will say, ``Happy!!!!!'' ... http/ask.fm/a/a0hn779i",[3]
"http/www.youtube.com/watch?v=AC_QkM3iMNY … Oysters, my dear, if someone wants to take them away, I will give them death!  own... http/fb.me/19ccPZF8w","[0, 3]"
I was taking bath in the bathroom... suddenly I am feeling something is coming up by my feet!!! I was just shocked! I... http/fb.me/12U0RpSnk,[3]
Like our post or comment to be always with us. Thank you. “Bismillahir Rahmanir Rahim” Assalamu Alaikum... http/fb.me/30vriOCPw,[3]
"Now I'm at kazir dewri, Kazi Bari Ln, Chittagong http/goo.gl/maps/kS7MV Chatting with friends after a long time ","[0, 3]"
Really??!! Everything is possible for seventy-one TV! http/fb.me/34UyrH9x5,[3]
"Sunday-Monday & days wanna kill you again and again!! > [If anyone has a heart problem better not show, I go… http/fb.me/6wYDT2Phm","[2, 3]"
Tor Dabi Ta Ki Vai? ? ? ?    #feeling confused,[3]
wow!! the snail is fast  Enjoyed watching Tarbo ,"[0, 0]"
"There is a little gap in the past, let's go forward for now   When the past topic comes up, I want to go forward ","[0, 0]"
Sometimes tears have to be turned into fire ,[2]
Stepping into Barisal after a long time feels like one's own city. I am feeling different.,[]
"Anant Jalil Bal , and Unreal Stuff by Hindi Nayaks are also good. Typical Bengali ",[2]
"I understand how bad the waiting is when... . . . . . . . . . By downloading something, I sit for it! ",[2]
Meaningless world....brutal everything... .the onslaught of despair... ,[2]
Dishonest company should always be avoided ,[0]
"Earlier, when it was night, I, my brother, Shaan, Saif, Chakku used to sit with tweets. And now it is empty. ",[2]
The flames don't stop (,[2]
Today in life I heard the voice of the cocktail so closely.  I'm scared ,"[0, 2]"
Why is everything so quiet today? There is a pansa pansa taste in everything  Is it just me or yours too?,[2]
"Today I am saying goodbye to all my friends... If I am alive, I will meet again tomorrow, we will talk.... good night my sweet frndzzzzzzzzzzzzzzzz","[1, 1]"
Pity only boss \Mashrafi/ didn't get a wicket,[]
You are our benefactor......... really you are incomparable  http/fb.me/11gm9RgFW,"[0, 3]"
We have nowhere to go. So I am sitting. ,[2]
"See the smile on our little Musi's face? If a wicket is taken, the first person runs to the bowler  kaiF",[0]
Amused by the practice of spelling mistakes in scrolling our TV channels ,[2]
I really miss Saka Chowdhury a lot! He is the only Dildar in Bangladesh politics (talking about actor Dildar) ,[0]
One more day  Time never ends  Can't Wait For #ElClasico #ClasicFCB,[2]
May Allah return the form of Mahmudullah Riyad. Everyone says Amen ,[0]
"Feeling sick, getting lazy day by day ",[2]
"There was hope and love, today there is no hope and no love  ",[2]
"Astaghfirullah, deprived of listening to Begum Zia's lecture, Karlu Ludshedding ",[2]
"Say a word slowly everyone, hear me say, ............GOOD NIGHT..............",[]
"In fact, after being shot, he was dragged to the side of the road in such a way that everyone thought he was dead ",[2]
I want to go to Ireland. Why is Ireland so beautiful?????? Feeling so much romantic!!!!,[]
In Sha Allah we will win tomorrow ,[0]
"Our Marcelo Mamou is injured,  He will miss the upcoming matches for Brazil. Get well soon... http/fb.me/1SchXD9CD","[2, 3]"
Interesting......,[]
"Yes, it is important to have this law in Bangladesh...  http/fb.me/1Pgnq34c6","[2, 3]"
Oops! My feet hurt so much ,[2]
"How do you understand me so much in these few days? u simply mk me feeling so lucky to hv a frnd, a person lyk u in my life... #goody_woody",[]
The artist of this beautiful song is my friend Shahnewaz Piash  http/fb.me/159zpN917,"[0, 3]"
"I am on this side and you are on that side, the river flows in the middle.... Stay in any side, stay well dear Mannade — feeling sad.",[]
The future of this poor country is dark ,[2]
"Without a star star, Argentina is fighting at an even pace. Roar Argentina Argentina =1 (Mexi Rodriguez) Uruguay =1",[]
"A little while ago, 4 cars BGB came to our market! Faka Ilo Faka gone! ",[2]
Just dabbled in photoshop and whatnot  https/www.dropbox.com/s/bo8jc75ch533efu/Happy-New-Year-2014.jpg … http/fb.me/11fbyw7YT,"[0, 3]"
"One day a bird went to a white rose and said, I LOVE U then the rose told the bird that day I changed from white to red... http/fb.me/21msHj7Mv",[3]
"Agree! ""@dk_sadia: Happiness is sleeping with a fan on in October weather """,[0]
Exam !! Only hope strike  ,[2]
"From now on I don't have romantic, excited talk on the phone with my girlfriend anymore    I'm catching it in my ear  fear... http/fb.me/17aPN8VxM","[2, 2, 3]"
"Even after so much searching, I did not meet an honest and sincere person like me #feeling so sad",[]
"For so long, I called Allah in my heart so that Pakistan lost in 2 nights! Let's go! Even if it doesn't happen, it loses by 1 run!!  Remember... http/fb.me/3aY0kMgAu","[0, 3]"
"So much fever and cold and hunger! God knows the condition of the roads. For now, it feels bad to get wet in the rain. ",[2]
"Until now, I understood why Zia is called Shaheed Zia even though she was not martyred in the war!",[]
Its name is #Pakistan!!! #Fuck Pakistan win Bangla! ,[0]
Many Bod Bhai Martmaks in the area are injured and in street mode. There is no one to take to the hospital ,[2]
They will grow up to ride the car and I will cut the grass... ,[2]
"Hey Sophia, don't rob me anymore ",[2]
Oh! I lost  Virat Kohli is the world!! ,"[0, 2]"
Sometimes certain silences make people cry a lot.  ----Dreamless Baluchar.,[2]
"Loving someone from a distance is the most sacred love Because there is no impurity in this love, there is no physical need ",[2]
The work is not done by doing it,[]
Not being able to cry is also very difficult,[]
Looking forward to the 2nd Odiai tomorrow  Bangladesh vs New Zealand  Roar Tiger ,"[0, 0]"
"Tomorrow is October 25. I don't go out, I feel scared. feeling-dear",[]
Tomorrow our test results will be published. That's why now I feel very worried! (,[2]
What a strange girl  I didn't understand anything she said on the phone  Feeling confused ,"[5, 3]"
Care to show what game  http/fb.me/2K24Ujv0i,"[0, 3]"
There is love hidden in some Hate You ,[0]
"There are some people who can change themselves with time.. and those who can't, those are the ones who suffer the most in life... — feeling sad.",[]
To gain something or lose something. I come to earth only to lose Shala. —  feeling guilty.,[2]
No one spoke...  ,"[2, 3]"
"There is no one anywhere that I have walked today, that I have not found alone on the road, so really, who can be seen by the hand and said, I am not good... ",[2]
Once upon a time I was dry!!!   http/fb.me/17ihjmpdz,"[2, 2, 3]"
Sorry for the camera. Couldn't keep it at home ,[2]
"It seems that there is no travel written on the forehead this month!  Even though all the preparations to go to Kuakata were done last week, the bicycle... http/fb.me/1rPUMI3QK","[2, 3]"
when will i go back ,[2]
Comedy show between Hasina and Khaleda ,[0]
"If Khaleda Zia does not accept the invitation, I will go. Munchay to eat chicken! ",[0]
Khaleda is losing the script  Again 48 hours time  Good day ahead Give me 10 minutes to escape,[2]
Looking for you in the dream song today waiting for you Looking for you in the dream song even today I crave your touch ,[2]
It's one thing to trust too much and be The Great Gatsby ,[0]
Music has an unusual ability to make you happy even with pain.,[]
A cup of tea at dusk and my way to Artsail. feeling-lost,[]
Grrrrr head lost  I don't want to do so much work in winter ,"[2, 2]"
"Can't sleep masi-pisi come to my house, ......................................... .................Good night I told you to sit quietly.",[]
I don't understand that a little irregularity with sleep will hurt me like this... Result now Feeling headache Need deep sleep...,[]
Can't sleep in the light of Chad. The light is on the bed....the feeling is wonderful ,[0]
"Think about it, what to do...  If you like it, please like it, share it and let others see it. you...",[7]
Chidar Moa Khai Boisa Boisa.. The thing feels good to eat.. ,[0]
Manna De songs are being talked about on channels ,[2]
I combed my hair...  . .. ... .... I feel tired... ,"[2, 3]"
"Chagur is thinking that it is good that Khaleda has spoken like a brawler, who will understand these people who understand what the public understands ",[0]
I remember when I was little....how many chips I used to eat..... @feeling little kid  http/fb.me/6iov0Wn3G,"[0, 3]"
"I want to know, I really want to know, are you the same as before, or have you changed a lot? ",[2]
I was shocked to see teletalk 3G speed on GP modem ,[2]
"Giraffe...Giraffe...everywhere!!! Happy Giraffe Day!!! moral of the day: be a giraffe, make others a giraffe!!!""",[]
Downloading at 1mbps speed for the first time in my life.....that too sitting at home!!! Earlier speed was 25-30 kb. Bangladesh has come a long way ,[0]
It's good to hear jhagra...  On 71 TV... Hasina-Khaleda phone conversation..listening... ,"[0, 0]"
When you had no one I was the one  Now you've got everything I'm the one  ,"[0, 2, 2]"
"It's raining heavily, I don't want to leave the house ",[2]
If only in 1994 Bangladesh had taken the opportunity to join the optical fiber connection for free or now the average speed of the Internet in Bangladesh would have been 4MB! ,[2]
I don't like the painful mechanical life anymore..... ,[2]
Dhaka city Aisa my wear Jurail  feeling sheiram sheiram ,"[0, 3]"
Does that mean no one cares about Sujata Singh!!! Good ... Good ....,[]
"The last letter written to you remained unfinished due to the irony of time, so even in the midst of evolution, this 'I' is incomplete today... ",[2]
"But PM's sense of humor is good, must admit ",[0]
Watch youth idol Andu's speech. Had a lot of fun  http/fb.me/QT2ao0sp,"[0, 3]"
Stop and go.....  Painful mechanical life ,[2]
How did the two leaders fight? ,[0]
"There is nothing to ask for from the day and nothing to ask for...keep the sadness for tomorrow...for now, life isn't half bad ",[0]
"DELHI EXIT POLL: Congress loses, Padmaful falls in Delhi, good results for Aam Aadmi http/tinyurl.com/lexm4rs",[3]
"While sitting at home for a long time, the hands and feet are growing   Watching mina cartoon ",[0]
Miss you if you don't see  https/www.facebook.com/photo.php?v=4934222052265 …,"[2, 3]"
"Strike of sabotage Bombing by mercenary picketers, vandalism, arson  Life in the capital is about... http/fb.me/R10efc3s","[2, 3]"
I feel very helpless these days... ,[2]
You have to be more modern minded. ,[2]
"A sleepless night, accompanied by a chilling cold wind, and a huge sky and some darkness ",[0]
Naimaaaaaaaaar Goooooooooal asist ,[0]
Nokia's app store is filled with all the world's famous junk apps! >,[2]
I understand the debt.  http/fb.me/298VOHkqk,"[0, 3]"
The bird all ..............does Rob .........................says GOOD MORNING,[]
"Pashan world's Pashan people in exchange for Swath, everyone faints when they are far away, when pride comes near, acting people are cruel, this is their identity. — feeling sad",[]
"A large group of about 30 people, chatted together #feeling excited",[]
Beloved hangs on me. . ,[2]
"Father of the exam, you can open your mind and sing. This old man ended our life.  But I don't care anymore,... http/fb.me/6sO0hVafr","[2, 3]"
In every boy's life there is a girl whom he longs for but never gets... ),[2]
Ahsanullah University of Science and Technology as the first private university to get permanent certificate  http/fb.me/1COsDhMbK,"[0, 3]"
Mourning for the Filipinos ,[2]
I don't miss anything on Facebook. Except for @_Jaati_'s posts ,[2]
Facebook has been hacked again ,[2]
"Lying on the tree, touching your own sorrow, do not sleep, even sleep is selfish!!! ",[2]
I am watching the Bengali movie #The_Black made about the justice system of the pharaoh Diani Hasina of Bengal.. Download link in the comment.. feeling-amazing,[]
Bengali nation never forgets... Water and oil can never mix together. ,[0]
Dad! I did not know the meaning of my name. Now see SAIHAM means LORD!!  ,[0]
father and son How good it felt to climb into the arms of the father. Now I can't get on my father's lap anymore. Feeling sad  http/fb.me/1PzbHlRzy,"[2, 3]"
Messi's injury sadness in Barca's victory Open My Bangladesh http/fb.me/6ntZ8nTbj,[3]
"Baler is making a flyover, nothing is moving.... Muita wants to give aka feeling pissed.",[]
"I completed 1 year of unemployed life, unfortunately I didn't have that two-three months, after 1 year I got an order to wait again for 2/3 months. feeling stuck",[]
"Better  ""@Chhanda_: @sheikhriad1 so happy!! @DasSatabdi the girl is so good, so Lakshmi!  ""","[0, 1]"
"Barrister Rafiqul Haque is giving BNP a good bamboozle lately  Lol, now ATN News",[0]
"Due to the rain, it seems that today's game will not be stopped. That will be the draw. Mominul won't have a few more records from the middle...damn... ",[2]
"Your last letter is wet with rain water, it is torn, the word of the letter is lost in the unknown.. How can I tell you? feeling #khub krp",[]
After many years again in hall lan...  ,"[0, 0]"
"I found you carelessly, why will you be lost now? How can you say that I am alone, look back and I am standing.",[]
Jhagra Kaira Jitta Gayi with elder sister #feeling Mahanayak of third world war,[]
I'm hooked on vural fiber  and I'm getting a runny nose again  #fb,"[2, 3]"
"Fortunately, the two leaders did not have a face-to-face dialogue! ",[0]
Bhavtasi red phone 2 drama Banamu!  ,"[0, 3]"
"Good writers often touch life, mediocre writers touch life, and bad writers touch life… http/fb.me/33kE4fmpQ",[3]
"Love is a great achievement in human life. No one gets love without asking, and no one gets love even after suffering a lot. ",[2]
"A lot of time is going away, I have to do everything myself. A single person's family.  - feeling lack of wife.",[2]
I'm scared ,[2]
I miss mom so much ,[2]
I'm fishing Feeling- Fish is smarter than me. Does not catch. ,[2]
Why do I do such stupid things sometimes …… #feeling helpless,[]
Manik has been arrested.  http/fb.me/3sC6LlyTV,"[2, 3]"
All the physical problems that Manna De suffered from were from my grandfather. Kidney and lung problems ,[2]
Manna Deo got fused this year ,[2]
I listened to the phone conversation of the Honorable Prime Minister and the Leader of the Opposition. How rude and quarrelsome people can be Khaleda Zia... http/fb.me/1XjnCczJs,[3]
There should be a limit to what people want!!!! ,[2]
Masha Allah! How many Muslims are online right now??  Give voice by liking. . . . http/fb.me/2vA36Ch7I,"[0, 3]"
miss u manna kaka ,[2]
"The point is that madam was busy applying make-up in anticipation of a video call, so she did not hear the phone ringing. Her loss was 37 minutes. ",[0]
Having fun...interviewing is fun  http/fb.me/2uCcSCkJ4,"[0, 3]"
I don't know why... ,[2]
Like if you enjoy it..  http/fb.me/6pJtuSWKO,"[0, 3]"
"Madam Khaleda, if you give a strike, you give it in a good way, if you don't give it, don't give it.",[]
Only middle class family people can see the true face of the world.  ,[2]
It seems like everything is over.......  but actually haven't started yet  #Shayal_Pandit's Quotes B |,"[3, 2]"
The execution of war criminals in the damadol of masnad and election is gradually sidelined ,[2]
I did not sleep anymore ... Feeling slapped to myself,[]
"Hot at night, cold in the day, the weather is extreme!!!!! ",[0]
Ancelotti happy having Ronaldo #HalaMadrid http/www.dboxb.com/ancelotti-happy-having-ronaldo/ …,[3]
Is Robi a mobile operator or a thief??? :-C After having MB he is making money !!! :O silly Ravi ,[2]
"For the first time in my life, I am making tea with my own hands! Liger red tea with a little sugar! A different experience!  ",[0]
"I heard Lal's telephone conversation completely, I can't understand Khaleda Zia must watch Hindi serial  Hasina to her... http/fb.me/2Vw8Rb8Yx","[0, 3]"
Red Phone Talk Misty Jhal Talk  https/soundcloud.com/yaseen-fida-hossain/khaleda-hasina-phone … http/fb.me/33mwIiWf7,"[0, 3]"
"A decoration of Brockwall Park, London. Flowers arranged on a bicycle! http/fb.me/2wTtbqbqh",[3]
"My mind became green, fresh and relaxed like the sweetness of a white winter morning. I m feeling heavenly happiness in my life .............",[]
"Did you hear my cry, mother, did you hear my cry today?   ",[2]
Happy Vijaya Dashmi with love and sincere congratulations..,[]
Good wishes Good Night!,[]
"Good morning Today, after many days, I walked barefoot on dewy grass Feeling Awesome ",[0]
Good night  I will sleep with peace now,[0]
I have to sleep early in the morning..I have to get up early in the morning..Mother's strict order ,[2]
Sa. .. La ] Looks like someone trapped me inside a vacuum ,"[2, 3]"
"Well done Sheikh Hasina, this is why it is said that if politics is in the blood, who will lose ",[0]
The truth!!   http/fb.me/2uowNtEL1,"[0, 0, 3]"
Nice story  http/fb.me/PFrMCKBQ,"[0, 3]"
good morning ,[0]
Everyone says that I am too late to reply!! Where?? ,[2]
Supporters like!! #RKB http/fb.me/2Bku0Ekyc,[3]
Time doesn't pass  When will that morning be? And when will we meet ,[2]
Good Morning Friend. http/fb.me/2viR5yGOv,[3]
Hasina you do not say anything!! Ma'am would break the phone. ,[0]
Hasina Khaleda do not live in the net! feeling___someone cut me with a plow Myrala....,[]
Laughing Shash  Official Drama Queen of Cricket  OKAD,[0]
"Laughing,  @sheikhriad1 Vs @dk_sadia",[0]
"Haha, lol hope Atit keeps up the series  http/fb.me/XaWJ5dLK","[0, 3]"
"Hahaha..... What do the bulls say... 60 hours strike from 27th. .. Oh crazy, that day is our exam...   ",[0]
HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA,[]
"As many incidents of vandalism happen during the strike, why not sue Khaleda Zia as a defendant for the alleged incident? - show cause >",[2]
"Hooray!!! It's 12 o'clock! It's 12 o'clock! Hey, not me! At 12 o'clock on the 25th, it is now the 26th! ",[0]
